model_class,topology,beta,subsidy,p_base_mode,n_runs,mean_adoption_count,mean_adoption_pct,median_adoption_pct,std_adoption_pct,min_adoption_pct,max_adoption_pct,mean_peak_new,tipping_freq
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,4000.0,constant,10,443.9,0.8878,0.904,0.10244760178311207,0.648,0.994,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,4000.0,empirical,10,444.0,0.8879999999999999,0.904,0.10192807921928741,0.65,0.994,438.9,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,5000.0,constant,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,5000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,0.0,constant,10,5.4,0.0108,0.01,0.0025298221281347035,0.01,0.018,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,0.0,empirical,10,5.4,0.0108,0.01,0.0025298221281347035,0.01,0.018,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,1000.0,constant,10,5.4,0.0108,0.01,0.0025298221281347035,0.01,0.018,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,1000.0,empirical,10,5.9,0.0118,0.01,0.003823901439919996,0.01,0.02,5.0,0.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,2000.0,constant,10,500.0,1.0,1.0,0.0,1.0,1.0,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,3000.0,constant,10,479.9,0.9598000000000001,0.964,0.04022658048825148,0.892,1.0,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,3000.0,empirical,10,479.9,0.9598000000000001,0.964,0.04022658048825148,0.892,1.0,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,4000.0,constant,10,465.3,0.9305999999999999,0.952,0.08681039364295295,0.708,1.0,438.8,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,4000.0,empirical,10,465.3,0.9305999999999999,0.952,0.08681039364295295,0.708,1.0,438.9,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,5000.0,constant,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,5000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,495.0,1.0
HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,2000.0,empirical,10,500.0,1.0,1.0,0.0,1.0,1.0,442.7,1.0
HYBRID_COGNITIVE_ABM,watts_strogatz,0.15,3000.0,empirical,10,466.5,0.933,0.958,0.07175421009715503,0.812,0.998,416.9,1.0
