subsidy,n_paired,emp_mean,con_mean,diff,effect_size,emp_peak,con_peak
0.0,10,0.009999999999999998,0.009999999999999998,0.0,UNSTABLE / NOT INFORMATIVE,5.0,5.0
1000.0,10,0.009999999999999998,0.009999999999999998,0.0,UNSTABLE / NOT INFORMATIVE,5.0,5.0
2000.0,10,1.0,1.0,0.0,UNSTABLE / NOT INFORMATIVE,442.7,494.9
3000.0,10,0.933,0.9911999999999999,-0.05819999999999981,-1.069460311154561,416.9,465.4
4000.0,10,0.8879999999999999,0.8878,0.00019999999999986695,0.0019571736994020185,438.9,438.8
5000.0,10,1.0,1.0,0.0,UNSTABLE / NOT INFORMATIVE,495.0,495.0
