subsidy,n_paired,ws_mean,ba_mean,diff,effect_size,ws_peak,ba_peak
0.0,10,0.009999999999999998,0.009999999999999998,0.0,UNSTABLE / NOT INFORMATIVE,5.0,5.0
1000.0,10,0.009999999999999998,0.009999999999999998,0.0,UNSTABLE / NOT INFORMATIVE,5.0,5.0
2000.0,10,1.0,1.0,0.0,UNSTABLE / NOT INFORMATIVE,442.7,427.4
3000.0,10,0.933,0.9704,-0.03739999999999999,-0.6305341264799688,416.9,391.8
4000.0,10,0.8879999999999999,0.9955999999999999,-0.10760000000000003,-1.4903104269967464,438.9,472.8
5000.0,10,1.0,1.0,0.0,UNSTABLE / NOT INFORMATIVE,495.0,495.0
