run_id,model_class_x,subsidy,dynamic_policy_x,time_to_50,peak_velocity,tipping_occurred
R3_DET_1000.0_True_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,1000.0,True,15,456,1
R3_DET_1000.0_True_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,1000.0,True,15,452,1
R3_DET_1000.0_True_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,1000.0,True,15,443,1
R3_DET_1000.0_True_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,1000.0,True,15,398,1
R3_DET_1000.0_True_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,1000.0,True,15,453,1
R3_DET_2000.0_False_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,15,484,1
R3_DET_2000.0_False_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,15,476,1
R3_DET_2000.0_False_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,15,487,1
R3_DET_2000.0_False_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,16,291,1
R3_DET_2000.0_False_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,16,365,1
R3_DET_2000.0_False_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,16,384,1
R3_DET_2000.0_False_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,15,455,1
R3_DET_2000.0_False_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,494,1
R3_DET_2000.0_False_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,16,352,1
R3_DET_2000.0_False_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,15,486,1
R3_DET_2000.0_False_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,452,1
R3_DET_2000.0_False_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,451,1
R3_DET_2000.0_False_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,441,1
R3_DET_2000.0_False_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,427,1
R3_DET_2000.0_False_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,454,1
R3_DET_2000.0_False_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,456,1
R3_DET_2000.0_False_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,452,1
R3_DET_2000.0_False_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,443,1
R3_DET_2000.0_False_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,398,1
R3_DET_2000.0_False_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,2000.0,False,14,453,1
R3_DET_2000.0_True_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,9,484,1
R3_DET_2000.0_True_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,9,476,1
R3_DET_2000.0_True_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,9,486,1
R3_DET_2000.0_True_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,10,271,1
R3_DET_2000.0_True_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,12,333,1
R3_DET_2000.0_True_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,10,348,1
R3_DET_2000.0_True_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,11,316,1
R3_DET_2000.0_True_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,3,371,1
R3_DET_2000.0_True_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,10,324,1
R3_DET_2000.0_True_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,9,486,1
R3_DET_2000.0_True_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,452,1
R3_DET_2000.0_True_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,447,1
R3_DET_2000.0_True_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,441,1
R3_DET_2000.0_True_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,427,1
R3_DET_2000.0_True_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,454,1
R3_DET_2000.0_True_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,456,1
R3_DET_2000.0_True_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,452,1
R3_DET_2000.0_True_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,443,1
R3_DET_2000.0_True_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,8,398,1
R3_DET_2000.0_True_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,2000.0,True,9,388,1
R3_DET_3000.0_False_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,4,298,1
R3_DET_3000.0_False_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,8,476,1
R3_DET_3000.0_False_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,3,487,1
R3_DET_3000.0_False_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,4,322,1
R3_DET_3000.0_False_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,2,320,1
R3_DET_3000.0_False_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,9,384,1
R3_DET_3000.0_False_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,2,422,1
R3_DET_3000.0_False_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,2,371,1
R3_DET_3000.0_False_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,9,352,1
R3_DET_3000.0_False_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,8,486,1
R3_DET_3000.0_False_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,452,1
R3_DET_3000.0_False_watts_strogatz_43,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,10,225,1
R3_DET_3000.0_False_watts_strogatz_44,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,5,458,1
R3_DET_3000.0_False_watts_strogatz_45,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,427,1
R3_DET_3000.0_False_watts_strogatz_46,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,454,1
R3_DET_3000.0_False_watts_strogatz_47,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,456,1
R3_DET_3000.0_False_watts_strogatz_48,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,452,1
R3_DET_3000.0_False_watts_strogatz_49,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,443,1
R3_DET_3000.0_False_watts_strogatz_50,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,7,398,1
R3_DET_3000.0_False_watts_strogatz_51,DETERMINISTIC_EMPIRICAL_ABM,3000.0,False,3,404,1
R3_DET_3000.0_True_barabasi_albert_42,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,476,1
R3_DET_3000.0_True_barabasi_albert_43,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,492,1
R3_DET_3000.0_True_barabasi_albert_44,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,3,316,1
R3_DET_3000.0_True_barabasi_albert_45,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,492,1
R3_DET_3000.0_True_barabasi_albert_46,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,319,1
R3_DET_3000.0_True_barabasi_albert_47,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,481,1
R3_DET_3000.0_True_barabasi_albert_48,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,491,1
R3_DET_3000.0_True_barabasi_albert_49,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,371,1
R3_DET_3000.0_True_barabasi_albert_50,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,485,1
R3_DET_3000.0_True_barabasi_albert_51,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,489,1
R3_DET_3000.0_True_watts_strogatz_42,DETERMINISTIC_EMPIRICAL_ABM,3000.0,True,2,428,1
