run_id,subsidy,initial_budget,total_expenditure,exhaustion_quarter,exhaustion_adoption,target_reached,saturation_reached
R3_DET_4000.0_True_barabasi_albert_42,4000.0,1000000.0,1000000.0,2.0,492.0,True,True
R3_DET_4000.0_True_barabasi_albert_43,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_44,4000.0,1000000.0,842913.5260115607,,,True,False
R3_DET_4000.0_True_barabasi_albert_45,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_46,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_47,4000.0,1000000.0,1000000.0,2.0,494.0,True,True
R3_DET_4000.0_True_barabasi_albert_48,4000.0,1000000.0,1000000.0,2.0,499.0,True,True
R3_DET_4000.0_True_barabasi_albert_49,4000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_4000.0_True_barabasi_albert_50,4000.0,1000000.0,1000000.0,2.0,495.0,True,True
R3_DET_4000.0_True_barabasi_albert_51,4000.0,1000000.0,1000000.0,2.0,498.0,True,True
R3_DET_4000.0_True_watts_strogatz_42,4000.0,1000000.0,1000000.0,2.0,433.0,True,False
R3_DET_4000.0_True_watts_strogatz_43,4000.0,1000000.0,1000000.0,2.0,325.0,True,False
R3_DET_4000.0_True_watts_strogatz_44,4000.0,1000000.0,1000000.0,2.0,420.0,True,False
R3_DET_4000.0_True_watts_strogatz_45,4000.0,1000000.0,1000000.0,2.0,480.0,True,True
R3_DET_4000.0_True_watts_strogatz_46,4000.0,1000000.0,1000000.0,2.0,497.0,True,True
R3_DET_4000.0_True_watts_strogatz_47,4000.0,1000000.0,1000000.0,2.0,466.0,True,False
R3_DET_4000.0_True_watts_strogatz_48,4000.0,1000000.0,1000000.0,2.0,474.0,True,False
R3_DET_4000.0_True_watts_strogatz_49,4000.0,1000000.0,1000000.0,2.0,438.0,True,False
R3_DET_4000.0_True_watts_strogatz_50,4000.0,1000000.0,1000000.0,2.0,416.0,True,False
R3_DET_4000.0_True_watts_strogatz_51,4000.0,1000000.0,1000000.0,2.0,491.0,True,True
R3_DET_5000.0_True_barabasi_albert_42,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_43,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_44,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_45,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_46,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_47,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_48,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_49,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_50,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_barabasi_albert_51,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_42,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_43,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_44,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_45,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_46,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_47,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_48,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_49,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_50,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
R3_DET_5000.0_True_watts_strogatz_51,5000.0,1000000.0,1000000.0,2.0,500.0,True,True
