run_id,model_class,provider,baseline_provider,calibration_hash_status,summary_status,trajectory_status,manifest_status,overall_status,failure_reason
R_47_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_47_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_47_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_47_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_48_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_48_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_49_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_49_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_50_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_50_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_51_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_51_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
