run_id,model_class,baseline_provider,constant_vs_empirical,cognitive,topology,beta,subsidy,seed,n_agents,horizon
R_51_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.15,0.0,51,500,24
R_51_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.15,0.0,51,500,24
R_51_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,barabasi_albert,0.3,0.0,51,500,24
R_51_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,barabasi_albert,0.3,0.0,51,500,24
R_51_STATIC_0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,0.0,51,500,24
R_51_STATIC_1000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,1000.0,51,500,24
R_51_STATIC_5000.0_emp,STATIC_BASELINE,empirical,empirical,False,NA,NA,5000.0,51,500,24
R_51_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.05,0.0,51,500,24
R_51_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.05,0.0,51,500,24
R_51_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.15,0.0,51,500,24
R_51_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,0.0,51,500,24
R_51_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,constant,constant,False,watts_strogatz,0.3,0.0,51,500,24
R_51_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.3,0.0,51,500,24
R_51_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,empirical,empirical,True,watts_strogatz,0.15,0.0,51,500,24
R_51_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,1000.0,51,500,24
R_51_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,empirical,empirical,False,watts_strogatz,0.15,5000.0,51,500,24
