run_id,model_class,topology,beta,seed,subsidy,p_base_mode,final_adoption,peak_adoption_velocity,tipping_occurred,tipping_quarter,time_to_25_percent,time_to_50_percent,total_llm_calls,total_llm_failures
R_42_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,42,0,constant,2,0,False,,,,10,0
R_42_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,42,0,empirical,2,0,False,,,,10,0
R_43_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,43,0,constant,0,0,False,,,,0,0
R_43_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,43,0,empirical,0,0,False,,,,0,0
R_44_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,44,0,constant,1,0,False,,,,6,0
R_44_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,44,0,empirical,1,0,False,,,,6,0
R_45_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,45,0,constant,2,0,False,,,,12,0
R_45_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,45,0,empirical,2,0,False,,,,12,0
R_46_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,46,0,constant,1,0,False,,,,6,0
R_46_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,46,0,empirical,1,0,False,,,,6,0
R_47_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,47,0,constant,0,0,False,,,,0,0
R_47_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,47,0,empirical,0,0,False,,,,0,0
R_48_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,48,0,constant,1,0,False,,,,5,0
R_48_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,48,0,empirical,1,0,False,,,,5,0
R_49_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,49,0,constant,0,0,False,,,,0,0
R_49_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,49,0,empirical,0,0,False,,,,0,0
R_50_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,50,0,constant,0,0,False,,,,0,0
