run_id,model_class,topology,beta,seed,subsidy,p_base_mode,final_adoption,peak_adoption_velocity,tipping_occurred,tipping_quarter,time_to_25_percent,time_to_50_percent,total_llm_calls,total_llm_failures
R_49_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.3,49,0,empirical,0,0,False,,,,0,0
R_49_STATIC_0_emp,STATIC_BASELINE,NA,NA,49,0,empirical,0,0,False,,,,0,0
R_49_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,49,0,constant,0,0,False,,,,0,0
R_49_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,49,0,empirical,0,0,False,,,,0,0
R_49_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,49,0,constant,0,0,False,,,,0,0
R_49_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,49,0,empirical,0,0,False,,,,0,0
R_49_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,49,0,constant,0,0,False,,,,0,0
R_49_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.3,49,0,empirical,0,0,False,,,,0,0
R_50_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.05,50,0,constant,0,0,False,,,,0,0
R_50_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,watts_strogatz,0.15,50,0,constant,0,0,False,,,,0,0
