run_id,model_class,topology,beta,seed,subsidy,p_base_mode,quarter,susceptible_count,infected_count,recovered_count,adoption_count,adoption_rate,new_adoptions,mean_p_base,median_p_base,p90_p_base,mean_sir_score,mean_affordability,llm_calls,llm_failures
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,11,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,12,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,13,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,14,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,15,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,16,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,17,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,18,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,19,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,20,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,21,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,22,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,23,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.05,42,0,empirical,24,498,0,2,2,0.004,0,0.0012380819626239,0.0003295956104831,0.0018152066289457,0.0,0.0,0,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,0,498,2,0,2,0.004,5,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0018,0.0,0,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,1,498,2,0,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0018,0.0,6,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,2,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,3,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,4,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,5,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,6,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,7,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,8,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,9,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,10,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,11,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
R_42_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,0,constant,12,498,0,2,2,0.004,0,0.0012380819626239,0.0012380819626239,0.0012380819626239,0.0,0.0,10,0
